demographic,1917,1918,1926,1928,1929,1930,1931,1932,1933,1934,1935,1936,1940,1941,1943,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Josei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,2,5,2,3,5,3,9,8,7,15,10,5,11,9,11,6,4,3,10,8,3,3,0
Kids,2,1,1,1,1,2,4,2,1,2,4,1,1,1,1,2,2,2,2,1,1,3,6,7,6,5,18,20,16,19,21,21,24,26,19,16,19,20,20,16,24,20,27,25,31,26,30,31,36,39,38,55,49,43,45,59,69,70,61,63,84,90,60,68,55,75,71,72,80,88,70,80,79,108,123,113,138,185,208,239,257,230,240,263,263,266,256,316,242,137,148,150,120,28,0
Seinen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,0,6,3,2,2,3,7,6,11,16,13,20,19,12,8,10,8,9,10,14,8,10,19,20,20,24,25,29,27,37,42,35,48,41,43,52,46,33,50,32,23,22,32,37,24,31,3
Shoujo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2,1,0,0,1,0,4,2,2,3,4,3,4,2,7,6,9,13,15,13,17,13,9,17,11,8,8,6,8,11,7,3,11,11,20,13,13,9,9,11,15,15,21,12,22,8,12,7,5,8,8,11,10,8,0
Shounen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,2,7,5,4,2,3,6,4,1,2,1,1,2,8,12,8,15,14,15,19,17,15,19,16,21,16,24,28,17,33,26,29,26,26,32,37,55,48,49,42,44,56,45,54,67,60,54,66,68,81,67,59,59,42,66,71,72,83,48,5
