genre,1917,1918,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Crossdressing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,4,2,0,2,4,4,2,1,5,2,2,2,1,2,0,2,2,2,4,2,0
Delinquents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,4,5,6,2,1,2,2,0,1,1,0,0,0,3,0,0,1,0,0,3,2,0,4,0,0,0,2,1,1,1,1,3,7,3,1,0
Detective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,1,0,2,4,4,5,1,2,4,3,7,5,4,8,6,3,9,7,7,7,13,6,12,5,5,12,8,9,12,11,11,5,11,17,10,10,8,16,8,5,1
Drama,4,3,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,6,5,1,1,3,4,8,8,7,2,2,4,3,7,12,22,24,19,23,24,15,14,19,29,36,35,32,30,45,44,36,37,40,40,41,51,47,52,71,69,69,92,98,92,89,61,57,53,68,76,64,72,75,90,98,118,94,86,122,78,98,77,31,1
Ecchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,2,6,4,8,6,10,11,2,7,8,10,12,12,12,6,12,15,21,25,28,18,25,34,40,41,50,45,30,41,46,33,29,25,25,18,12,8,12,13,5,0
Educational,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,2,0,3,3,3,4,5,3,3,4,4,7,5,4,4,3,6,4,3,6,4,1,7,3,4,7,8,7,9,12,6,9,8,9,7,6,9,10,3,7,8,13,6,9,1,0
Erotica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,1,0,1,2,0,0,0,1,0,1,0,2,1,6,2,3,7,2,2,5,0,3,0,5,2,1,5,3,4,0,1,1,0
Fantasy,0,1,0,0,1,2,1,1,1,1,0,4,0,1,3,1,4,0,0,1,1,1,1,0,0,0,2,0,0,1,0,0,1,0,2,1,1,0,4,2,4,1,2,3,3,1,3,6,4,7,3,2,8,6,7,4,6,3,8,11,12,12,13,14,13,22,26,20,30,43,44,52,53,62,37,48,53,53,54,54,54,86,74,74,69,106,122,119,110,122,145,164,165,190,208,214,243,258,238,288,259,263,274,330,333,111,4
Gag Humor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,2,3,2,1,1,2,0,4,2,2,3,5,2,1,1,3,7,2,3,3,4,4,4,7,6,12,6,6,12,12,11,7,13,14,7,13,6,6,10,8,7,9,6,0
Girls Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,1,1,0,2,0,2,0,3,7,0,6,3,5,8,4,4,5,1,5,9,0,2,6,5,3,3,1,7,5,2,0
